0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.47452986,0.4971404,0.48865315,0.51275855,0.5298019,0.53578943,0.52534926,0.51056194,0.50437117,0.4983365,0.50174797,0.50082463,0.5060219,0.5001298,0.49368083
0.47457662,0.49720156,0.48867542,0.5127608,0.5297695,0.53576255,0.5253535,0.51055217,0.50436443,0.49834704,0.501757,0.500821,0.50604135,0.50010633,0.49370947
0.4744806,0.49705344,0.48861963,0.5127439,0.52987206,0.5358168,0.52527994,0.51056576,0.50436306,0.49831578,0.50178695,0.50087124,0.5059586,0.500138,0.49364325
0.47459823,0.49721396,0.4886375,0.5127573,0.5297665,0.53576255,0.52527934,0.51058304,0.50432026,0.49838424,0.50167185,0.5008894,0.5059816,0.50009364,0.49372336
0.4745566,0.49718317,0.48867115,0.512753,0.5298067,0.53577757,0.52534777,0.51054376,0.50436956,0.49832466,0.50180066,0.5008249,0.50602895,0.5000958,0.49369276
0.47452188,0.49709433,0.48859435,0.5127181,0.5298716,0.5358172,0.52519125,0.5105823,0.50431895,0.49833527,0.5017734,0.5009066,0.50595903,0.50008625,0.49367717
0.47450146,0.49709338,0.48863158,0.5127502,0.5298534,0.5358066,0.52530336,0.5105627,0.5043633,0.4983217,0.5017754,0.50086486,0.5059678,0.5001274,0.49365568
0.47446468,0.4970223,0.4886095,0.51273793,0.52991134,0.5358376,0.5252671,0.51055545,0.504363,0.4983014,0.5018225,0.5008854,0.5059356,0.5001411,0.49362087
0.47445902,0.497017,0.48859674,0.5127254,0.529915,0.53583634,0.5252406,0.5105648,0.50435513,0.49830073,0.5018184,0.5008896,0.50593674,0.5001337,0.49362373
0.47454157,0.49714082,0.48862043,0.51272476,0.52981764,0.535783,0.525234,0.51058364,0.5043318,0.49834278,0.50175416,0.5008674,0.50600576,0.50008607,0.4937023
0.4745697,0.4971925,0.48866504,0.51275826,0.5297927,0.5357733,0.5253551,0.51054645,0.50436187,0.4983417,0.50176185,0.50083697,0.5060134,0.50011194,0.4936916
0.47453192,0.49714324,0.48865047,0.51275223,0.5298028,0.5357835,0.52531385,0.5105705,0.5043626,0.49833626,0.5017548,0.5008344,0.50602216,0.5001089,0.4936938
0.4745564,0.497172,0.48864838,0.5127323,0.5297702,0.53575814,0.52526444,0.51058525,0.50434595,0.4983474,0.50175047,0.50082505,0.50606227,0.50008154,0.49373
0.47457373,0.4972007,0.48864397,0.51275927,0.5297822,0.53577036,0.52529925,0.5105805,0.50433606,0.49836504,0.5016961,0.5008736,0.5059886,0.5000895,0.49371412
0.47448653,0.49706286,0.4886117,0.5127327,0.52988094,0.53581434,0.52525175,0.51056814,0.50435215,0.49831364,0.5017967,0.50088423,0.50595134,0.5001196,0.49364805
0.47455886,0.49718347,0.48866904,0.51276475,0.52979314,0.5357771,0.52537704,0.510545,0.5043715,0.49833828,0.50175875,0.50082767,0.5060153,0.5001228,0.49368438
0.4745886,0.49719515,0.48864296,0.51275694,0.52977014,0.53578866,0.52529854,0.51057804,0.5043322,0.49837676,0.5016938,0.5008518,0.506031,0.5000973,0.49372342
0.47457546,0.49713358,0.48861098,0.51270413,0.5298137,0.53576875,0.5251883,0.51056606,0.5043124,0.4983546,0.50178397,0.50088483,0.5060013,0.5001045,0.49370003
0.47457767,0.4972115,0.48868418,0.51277196,0.5297673,0.5357688,0.52539307,0.51054484,0.5043739,0.49834633,0.50175065,0.50081086,0.5060432,0.5001145,0.49370334
0.4745361,0.49713397,0.48863727,0.5127385,0.5298342,0.5357858,0.5252862,0.51055694,0.5043514,0.4983284,0.50178784,0.5008646,0.505984,0.5001089,0.49367544
0.47450706,0.49707866,0.4885985,0.512719,0.52986974,0.535824,0.52520007,0.5105854,0.5043291,0.49832904,0.50178057,0.50088453,0.50598454,0.5000888,0.49367833
